,AGE,GENDER,NATIONALITY,AFFECTED_ASPECT,STRATEGY
1106,47,m,kenyan,mission vision value,missiondriven policy alignment
1107,31,m,tanzanian,social connection community engagement,community engagement initiative
1108,38,m,kenyan,access resource,digitization
1109,26,f,tanzanian,physical health safety,comprehensive health safety measure
1110,57,f,tanzanian,technology infrastructure,technology integration
1111,30,f,tanzanian,facility safety,safety measure
1112,38,m,tanzanian,access resource,digitization
1113,41,f,tanzanian,mission vision value,missiondriven policy alignment
1114,50,m,tanzanian,access resource,digitization
1115,33,f,tanzanian,budget allocation,budget optimization
1116,32,f,tanzanian,organizational culture change management,inclusive organizational culture
1117,51,f,tanzanian,mission vision value,missiondriven policy alignment
1118,47,m,tanzanian,recruitment,strategic recruitment
1119,27,f,tanzanian,access resource,digitization
1120,56,f,tanzanian,employee development training,professional development plan
1121,42,m,tanzanian,cyber crime,security measure
1122,31,f,kenyan,social connection community engagement,community engagement initiative
1123,34,m,kenyan,technology infrastructure,technology integration
1124,40,f,tanzanian,cyber crime,security measure
1125,57,m,tanzanian,tuition fee setting,financial planning
1126,53,f,tanzanian,physical health safety,comprehensive health safety measure
1127,51,f,tanzanian,access resource,digitization
1128,37,f,kenyan,administrative function,workflow analysis
1129,34,f,tanzanian,organizational culture change management,inclusive organizational culture
1130,25,f,kenyan,physical health safety,comprehensive health safety measure
1131,35,m,kenyan,tuition fee setting,financial planning
1132,57,m,kenyan,research experiment,research experiment standardization
1133,48,f,kenyan,debt,cash flow analysis
1134,38,f,tanzanian,educational program curriculum,program curriculum review update
1135,59,f,tanzanian,research experiment,research experiment standardization
1136,45,m,kenyan,budget allocation,budget optimization
1137,46,m,tanzanian,physical health safety,comprehensive health safety measure
1138,37,f,tanzanian,physical health safety,comprehensive health safety measure
1139,50,m,tanzanian,learning environment,blended learning
1140,45,f,kenyan,facility safety,safety measure
1141,48,m,tanzanian,administrative function,workflow analysis
1142,25,m,tanzanian,budget allocation,budget optimization
1143,59,f,tanzanian,educational program curriculum,program curriculum review update
1144,26,m,tanzanian,workforce planning analysis,workforce planning
1145,24,f,kenyan,organizational culture change management,inclusive organizational culture
1146,26,m,tanzanian,student accommodation,accommodation optimization
1147,24,f,tanzanian,legal regulatory compliance,compliance management framework
1148,38,m,kenyan,learning environment,blended learning
1149,58,f,kenyan,employee development training,professional development plan
1150,41,f,kenyan,mission vision value,missiondriven policy alignment
1151,39,f,tanzanian,tuition fee setting,financial planning
1152,42,m,kenyan,research experiment,research experiment standardization
1153,56,m,tanzanian,recruitment,strategic recruitment
1154,35,f,tanzanian,running cost,financial auditing
1155,45,m,kenyan,physical health safety,comprehensive health safety measure
1156,37,m,kenyan,social connection community engagement,community engagement initiative
1157,54,f,kenyan,administrative function,workflow analysis
1158,38,m,tanzanian,access resource,digitization
1159,42,m,tanzanian,tuition fee setting,financial planning
1160,49,f,tanzanian,budget allocation,budget optimization
1161,56,f,kenyan,student accommodation,accommodation optimization
1162,37,f,tanzanian,organizational culture change management,inclusive organizational culture
1163,50,f,kenyan,facility safety,safety measure
1164,34,f,tanzanian,educational program curriculum,program curriculum review update
1165,44,m,tanzanian,recruitment,strategic recruitment
1166,54,m,kenyan,legal regulatory compliance,compliance management framework
1167,40,m,tanzanian,educational program curriculum,program curriculum review update
1168,28,m,kenyan,technology infrastructure,technology integration
1169,43,m,tanzanian,technology infrastructure,technology integration
1170,34,f,tanzanian,administrative function,workflow analysis
1171,31,m,kenyan,quality assurance,continuous improvement assessment
1172,27,f,tanzanian,administrative function,workflow analysis
1173,42,f,tanzanian,physical health safety,comprehensive health safety measure
1174,43,f,kenyan,access resource,digitization
1175,38,f,kenyan,learning environment,blended learning
1176,43,f,tanzanian,student accommodation,accommodation optimization
1177,32,f,tanzanian,quality assurance,continuous improvement assessment
1178,59,f,tanzanian,access resource,digitization
1179,52,m,tanzanian,access resource,digitization
1180,44,f,tanzanian,debt,cash flow analysis
1181,42,m,tanzanian,mission vision value,missiondriven policy alignment
1182,58,f,tanzanian,employee development training,professional development plan
1183,46,f,tanzanian,mission vision value,missiondriven policy alignment
1184,35,m,tanzanian,access resource,digitization
